
"RES#","T","Rock unit","C","Comp","Craton","Slat","Slon","Age","B","N","P","R%","D","I","alfa95","k","Plat","Plon","A95","AV","Authors","Journal","Year","Vol","Pages","DOI"
"1000321","s","Uinta Mountain group -N","US","","Laurentia-Wyoming","40.8","250.8","800","5","40","N","0","268.4","-2.7","9.4","66.6","-2.1","160.9","6.6","4","Weil, A.B., Geissman, J.W., Ashby, J.M.","Prec. Res.","2006","147","234-259","http://dx.doi.org/10.1016/j.precamres.2006.01.017"
"5834","i","Seal Lake group basalts","CA","LCR","Laurentia-Grenville","54.5","298.0","800","5","22","R","100","146.0","43.0","8.0","107.0","6.0","149.0","7.7","2","Roy, R.L., Fahrig, W.F.","Can. J. Earth Sci.","1973","10","1279-1301","http://dx.doi.org/10.1139/e73-113"
"244","s","Basinal Little Dal group","CA","A","Laurentia-Slave","64.7","233.0","815","14","87","N","0","264.6","-27.7","4.5","79.0","-15.7","141.3","3.6","4","Park, J.K.","J. Geophys. Res.","1981","86","5134-5146","http://dx.doi.org/10.1029/JB086iB06p05134"
"1712","s","Mudcracked formation, Little Dal group","CA","A","Laurentia-Slave","64.7","233.0","815","3","7","N","0","266.0","-17.0","11.0","30.0","-9.0","143.0","8.5","3","Park, J.K.","Can. J. Earth Sci.","1984","21","371-375","http://dx.doi.org/10.1139/e84-039"
"6591","s","Rusty shale formation","CA","A","Laurentia-Slave","63.4","233.0","815","3","31","M","67","97.0","21.0","17.0","51.0","-8.0","133.0","13","3","Park, J.K., Jefferson, C.W.","Prec. Res.","1991","52","1-35","http://dx.doi.org/10.1016/0301-9268(91)90011-X"
"3624","m","Tudor gabbro","CA","","Laurentia-Grenville","44.5","282.5","820","","11","N","0","328.0","11.0","9.0","5.0","42.0","149.0","6.7","1","Hood, P.J.","PhD thesis, University of Toronto","1958","","200pp.",""
"2243","m","Haliburton intrusions","CA","B","Laurentia-Grenville","45.0","281.5","820","8","11","N","0","299.9","10.3","15.7","9.4","24.5","172.3","11.3","1","Buchan, K.L., Dunlop, D.J.","J. Geophys. Res.","1976","81","2951-2967","http://dx.doi.org/10.1029/JB081i017p02951"
"131","i","Cordova gabbro","CA","B","Laurentia-Grenville","44.5","282.2","825","11","33","N","0","305.5","-1.5","9.5","24.0","24.0","165.5","6.9","3","Dunlop, D.J., Stirling, J.M.","Geophys. JRAS","1985","81","521-550","http://dx.doi.org/10.1111/j.1365-246X.1985.tb06420.x"
"6677","s","Shaler group, units P1-P3","CA","A","Laurentia-Slave","68.5","238.3","830","4","10","M","?","74.0","-28.0","9.0","29.0","9.0","168.0","7.1","3","Park, J.K.","Geol. Surv. Can. Paper","1992","92-1C","43-52",""
"34101","s","Tsezotene formation A -N","CA","A","Laurentia-Slave","64.5","232.0","830","6","13","N","0","277.0","24.0","14.0","11.0","14.3","141.2","11","3","Park, J.K., Aitken, J.D.","J. Geophys. Res.","1986","91","4955-4970","http://dx.doi.org/10.1029/JB091iB05p04955"
"341","s","Tsezotene formation A -C","CA","A","Laurentia-Slave","64.5","232.0","830","6","25","C","48","271.0","24.0","8.0","14.9","12.0","146.0","6.7","4","Park, J.K., Aitken, J.D.","J. Geophys. Res.","1986","91","4955-4970","http://dx.doi.org/10.1029/JB091iB05p04955"
"34102","s","Tsezotene formation A -R","CA","A","Laurentia-Slave","64.5","232.0","830","3","12","R","100","85.0","-24.0","9.0","28.0","9.2","151.9","7","3","Park, J.K., Aitken, J.D.","J. Geophys. Res.","1986","91","4955-4970","http://dx.doi.org/10.1029/JB091iB05p04955"
"1743","s","Katherine group","CA","KA","Laurentia-Slave","64.6","232.1","830","5","13","M","20","267.0","21.0","7.0","33.5","9.0","150.0","5.7","3","Park, J.K., Aitken, J.D.","Can. J. Earth Sci.","1986","23","308-323","http://dx.doi.org/10.1139/e86-034"
"2667","i","Kingston dykes, Frontenac swarm","CA","","Laurentia-Grenville","44.3","283.7","850","6","37","R","100","103.0","50.0","6.0","112.0","-12.0","163.0","6.6","2","Park, J.K., Irving, E.","Can. J. Earth Sci.","1972","9","763-765","http://dx.doi.org/10.1139/e72-063"
"9074","s","Nankoweap formation","US","","Laurentia-Yavapai","36.1","248.1","875","7","48","M","96","259.8","-4.1","7.1","72.5","-10.0","163.0","4.9","4","Weil, A.B., Geissman, J.W., Heizler, M., Van der Voo, R.","Tectonophys.","2003","375","199-220","http://dx.doi.org/10.1016/S0040-1951(03)00339-1"
"130","i","Cordova gabbro A -C","CA","A","Laurentia-Grenville","44.5","282.2","900","18","49","C","78","294.0","-55.5","5.5","42.0","-10.5","151.0","6.9","3","Dunlop, D.J., Stirling, J.M.","Geophys. JRAS","1985","81","521-550","http://dx.doi.org/10.1111/j.1365-246X.1985.tb06420.x"
"13001","i","Cordova gabbro A -R","CA","A","Laurentia-Grenville","44.5","282.5","900","16","38","R","100","298.0","-53.5","6.5","35.0","-6.6","149.9","7.6","3","Dunlop, D.J., Stirling, J.M.","Geophys. JRAS","1985","81","521-550","http://dx.doi.org/10.1111/j.1365-246X.1985.tb06420.x"
"10098","s","Nankoweap formation, Upper member, Grand Canyon Springs","US","","Laurentia-Yavapai","36.1","248.1","900","87","?","M","?","261.8","-4.7","3.4","20.6","-8.0","161.1","2.4","4","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"2589","s","Nankoweap formation","US","","Laurentia-Yavapai","36.1","248.2","900","?","6","N","0","270.9","36.6","6.6","105.0","12.5","174.4","5.9","2","Elston, D.P., Scott, G.R.","Earth Plan. Sci. Lett.","1973","18","253-265","http://dx.doi.org/10.1016/0012-821X(73)90064-2"
"13002","i","Cordova gabbro A -N","CA","A ","Laurentia-Grenville","44.5","282.5","900","10","11","N","0","101.0","61.5","7.5","36.0","22.0","153.6","10.2","2","Dunlop, D.J., Stirling, J.M.","Geophys. JRAS","1985","81","521-550","http://dx.doi.org/10.1111/j.1365-246X.1985.tb06420.x"
"2603","i","Wilberforce pyroxenite","CA","","Laurentia-Grenville","45.1","281.7","900","4","27","N","0","293.2","-59.6","4.7","390.0","-14.4","148.0","6.1","1","Palmer, H.C., Carmichael, C.M.","Can. J. Earth Sci.","1973","10","1175-1190","http://dx.doi.org/10.1139/e73-104"
"2244","m","Haliburton intrusions","CA","C","Laurentia-Grenville","45.0","281.5","900","6","10","R","100","105.4","34.7","6.6","53.5","-3.0","167.4","5.9","1","Buchan, K.L., Dunlop, D.J.","J. Geophys. Res.","1976","81","2951-2967","http://dx.doi.org/10.1029/JB081i017p02951"
"1641","s","Fond du Lac formation","US","K2","Laurentia-Superior","46.9","267.7","900","11","52","N","0","290.0","-48.0","4.0","23.0","-9.0","145.0","6","3","Watts, D.R.","Can. J. Earth Sci.","1981","18","829-841","http://dx.doi.org/10.1139/e81-080"
"3564","s","Sault Ste. Marie sandstone","CA","","Laurentia-Superior","47.0","275.5","903","2","4*","N","0","305.5","19.5","17.0","24.8","31.0","164.5","12.2","1","Du Bois, P.M.","Geol. Surv. Can. Bull.","1962","71","75pp.",""
"10097","s","Nankoweap formation, Lower member, Grand Canyon Springs","US","","Laurentia-Yavapai","36.1","248.2","910","62","?","N","0","264.2","36.7","2.8","42.1","7.4","178.1","2.5","3","Elston, D.P., Enkin, R.J., Baker, J., Kisilevsky, D.K.","Geol. Soc. Am. Bull.","2002","114","619-638","http://dx.doi.org/10.1130/0016-7606(2002)114<0619:TTBPSC>2.0.CO;2"
"1598","i","Umfraville gabbro -C","CA","","Laurentia-Grenville","44.9","282.2","911","23","63","C","87","109.0","44.0","8.1","15.0","-6.0","161.0","8.4","4","Palmer, H.C., Hayatsu, A., Waboso, C.E., Pullan, S.","Can. J. Earth Sci.","1979","16","459-471","http://dx.doi.org/10.1139/e79-042"
"3626","i","Umfraville gabbro","CA","","Laurentia-Grenville","45.0","282.0","911","?","12","N","0","115.0","43.0","7.0","8.0","-1.0","158.0","8.4","1","Hood, P.J.","PhD thesis, University of Toronto","1958","","200pp.",""
"15981","i","Umfraville gabbro -R","CA","","Laurentia-Grenville","44.9","282.2","911","20","55","R","100","110.0","42.0","9.0","14.0","-5.0","161.0","8.6","4","Palmer, H.C., Hayatsu, A., Waboso, C.E., Pullan, S.","Can. J. Earth Sci.","1979","16","459-471","http://dx.doi.org/10.1139/e79-042"
"2079","i","Umfraville gabbro","CA","","Laurentia-Grenville","44.9","282.2","911","10","45","N","0","100.4","44.6","8.2","35.9","-11.0","166.0","8.4","2","Symons, D.T.A.","Can. J. Earth Sci.","1978","15","956-962","http://dx.doi.org/10.1139/e78-103"
"15982","i","Umfraville gabbro -N","CA","","Laurentia-Grenville","44.9","282.2","911","3","8","N","0","279.0","-58.0","6.9","318.0","-21.0","157.0","8.7","3","Palmer, H.C., Hayatsu, A., Waboso, C.E., Pullan, S.","Can. J. Earth Sci.","1979","16","459-471","http://dx.doi.org/10.1139/e79-042"
"1684","i","Lac St. Jean anorthosite","CA","R","Laurentia-Grenville","48.7","288.0","925","21","123","R","100","110.0","45.0","5.7","32.0","-8.0","167.0","5.8","3","Buchan, K.L., Fahrig, W.F., Freda, G.N., Frith, R.A.","Can. J. Earth Sci.","1983","20","246-258","http://dx.doi.org/10.1139/e83-022"
"1685","i","Lac St. Jean anorthosite","CA","N","Laurentia-Grenville","48.7","288.0","925","12","64","N","0","301.0","-66.0","6.5","46.2","-19.0","147.0","9.4","3","Buchan, K.L., Fahrig, W.F., Freda, G.N., Frith, R.A.","Can. J. Earth Sci.","1983","20","246-258","http://dx.doi.org/10.1139/e83-022"
"8030","i","Pre-Grenvillian mafic intrusions","CA","C","Laurentia-Grenville","54.5","301.5","945","36","156","R","100","133.0","26.0","4.0","40.0","11.0","168.0","2.8","3","Park, J.K., Gower, C.F.","Can. J. Earth Sci.","1996","33","746-756","http://dx.doi.org/10.1139/e96-057"
"8284","m","Central Gneiss Belt","CA","GFTZ","Laurentia-Grenville","46.0","280.0","950","9","72","M","11","106.0","74.0","12.0","19.0","-29.0","134.0","21","4","Costanzo-Alvarez, V., Dunlop, D.J.","Earth Plan. Sci. Lett.","1998","157","89-103","http://dx.doi.org/10.1016/S0012-821X(98)00028-4"
"8287","m","Central Gneiss Belt","CA","Shawanaga","Laurentia-Grenville","46.0","280.0","950","5","40","M","40","267.0","-73.0","15.0","27.0","-36.0","141.0","25.5","4","Costanzo-Alvarez, V., Dunlop, D.J.","Earth Plan. Sci. Lett.","1998","157","89-103","http://dx.doi.org/10.1016/S0012-821X(98)00028-4"
"8290","m","Central Gneiss Belt","CA","Huntsville","Laurentia-Grenville","46.0","280.0","950","6","48","M","50","287.0","-55.0","15.0","21.0","-12.0","154.0","17.7","4","Costanzo-Alvarez, V., Dunlop, D.J.","Earth Plan. Sci. Lett.","1998","157","89-103","http://dx.doi.org/10.1016/S0012-821X(98)00028-4"
"8293","m","Central Gneiss Belt","CA","Rosseau","Laurentia-Grenville","46.0","280.0","950","1","8","R","100","301.0","-73.0","","","-22.0","130.0","","2","Costanzo-Alvarez, V., Dunlop, D.J.","Earth Plan. Sci. Lett.","1998","157","89-103","http://dx.doi.org/10.1016/S0012-821X(98)00028-4"
"100395","m","Central Gneiss Belt -R","CA","","Laurentia-Grenville","46.0","280.0","950","12","32","R","100","285.8","-59.5","7.2","37.2","-18.7","150.8","9.4","4","Costanzo-Alvarez, V., Dunlop, D.J.","Earth Plan. Sci. Lett.","1998","157","89-103","http://dx.doi.org/10.1016/S0012-821X(98)00028-4"
"8285","m","Central Gneiss Belt","CA","Kiosk","Laurentia-Grenville","46.0","280.0","950","10","80","M","40","275.0","-68.0","10.0","25.0","-29.0","147.0","15.4","4","Costanzo-Alvarez, V., Dunlop, D.J.","Earth Plan. Sci. Lett.","1998","157","89-103","http://dx.doi.org/10.1016/S0012-821X(98)00028-4"
"8288","m","Central Gneiss Belt","CA","Parry Sound","Laurentia-Grenville","46.0","280.0","950","3","24","M","33","292.0","-62.0","22.0","33.0","-15.0","145.0","30.3","3","Costanzo-Alvarez, V., Dunlop, D.J.","Earth Plan. Sci. Lett.","1998","157","89-103","http://dx.doi.org/10.1016/S0012-821X(98)00028-4"
"8291","m","Central Gneiss Belt","CA","McLintock","Laurentia-Grenville","46.0","280.0","950","5","40","M","80","283.0","-53.0","18.0","19.0","-13.0","158.0","20.6","3","Costanzo-Alvarez, V., Dunlop, D.J.","Earth Plan. Sci. Lett.","1998","157","89-103","http://dx.doi.org/10.1016/S0012-821X(98)00028-4"
"8294","m","Central Gneiss Belt","CA","Muskoka","Laurentia-Grenville","46.0","280.0","950","9","72","M","67","269.0","-69.0","8.0","49.0","-33.0","147.0","12","4","Costanzo-Alvarez, V., Dunlop, D.J.","Earth Plan. Sci. Lett.","1998","157","89-103","http://dx.doi.org/10.1016/S0012-821X(98)00028-4"
"100396","m","Central Gneiss Belt -C","CA","","Laurentia-Grenville","46.0","280.0","950","12","72","C","44","284.1","64.1","4.8","40.2","-23.5","147.4","6.9","4","Costanzo-Alvarez, V., Dunlop, D.J.","Earth Plan. Sci. Lett.","1998","157","89-103","http://dx.doi.org/10.1016/S0012-821X(98)00028-4"
"2618","i","Whitestone anorthosite and diorite","CA","WX","Laurentia-Grenville","45.6","280.1","950","2","13","R","100","122.0","45.0","26.0","3.0","1.0","149.0","26.3","1","Ueno, H., Irving, E., McNutt, R.H.","Can. J. Earth Sci.","1975","12","209-226","http://dx.doi.org/10.1139/e75-019"
"8283","m","Central Gneiss Belt","CA","N. of GF","Laurentia-Grenville","46.0","280.0","950","7","56","M","17","61.0","69.0","20.0","10.0","-49.0","155.0","31.4","3","Costanzo-Alvarez, V., Dunlop, D.J.","Earth Plan. Sci. Lett.","1998","157","89-103","http://dx.doi.org/10.1016/S0012-821X(98)00028-4"
"8286","m","Central Gneiss Belt","CA","Britt","Laurentia-Grenville","46.0","280.0","950","5","40","M","40","290.0","-59.0","22.0","14.0","-14.0","149.0","28.7","3","Costanzo-Alvarez, V., Dunlop, D.J.","Earth Plan. Sci. Lett.","1998","157","89-103","http://dx.doi.org/10.1016/S0012-821X(98)00028-4"
"8289","m","Central Gneiss Belt","CA","Novar","Laurentia-Grenville","46.0","280.0","950","4","32","M","50","295.0","-69.0","15.0","38.0","-20.0","137.0","23.9","4","Costanzo-Alvarez, V., Dunlop, D.J.","Earth Plan. Sci. Lett.","1998","157","89-103","http://dx.doi.org/10.1016/S0012-821X(98)00028-4"
"8292","m","Central Gneiss Belt","CA","Algonquin","Laurentia-Grenville","46.0","280.0","950","8","64","M","63","311.0","-61.0","16.0","13.0","-5.0","135.0","21.8","4","Costanzo-Alvarez, V., Dunlop, D.J.","Earth Plan. Sci. Lett.","1998","157","89-103","http://dx.doi.org/10.1016/S0012-821X(98)00028-4"
"5841","i","St. Urbain anorthosite","CA","","Laurentia-Grenville","47.6","289.6","950","14","98","N","0","126.0","51.0","7.0","34.0","3.0","153.0","8.4","2","Robertson, P.B., Roy, J.L.","Can. J. Earth Sci.","1979","16","1842-1856","http://dx.doi.org/10.1139/e79-168"
"100394","m","Central Gneiss Belt -N","CA","","Laurentia-Grenville","46.0","280.0","950","11","40","N","0","101.5","69.2","6.0","59.2","29.3","142.9","9.4","4","Costanzo-Alvarez, V., Dunlop, D.J.","Earth Plan. Sci. Lett.","1998","157","89-103","http://dx.doi.org/10.1016/S0012-821X(98)00028-4"
"100392","m","Adirondack microcline gneisses -R","US","","Laurentia-Grenville","44.0","286.0","960","10","60","R","100","304.8","-62.4","8.8","13.5","-19.7","153.5","12.1","4","Brown, L.L., McEnroe, S.A.","Prec. Res.","2012","212-213","57-74","http://dx.doi.org/10.1016/j.precamres.2012.04.012"
"100393","m","Adirondack microcline gneisses -C","US","","Laurentia-Grenville","44.0","286.0","960","14","80","C","71","289.2","-62.9","7.6","29.0","-18.4","151.1","10.5","4","Brown, L.L., McEnroe, S.A.","Prec. Res.","2012","212-213","57-74","http://dx.doi.org/10.1016/j.precamres.2012.04.012"
"101394","m","Adirondack microcline gneisses -N","US","","Laurentia-Grenville","44.0","286.0","960","4","20","N","0","117.4","63.3","21.3","19.4","-14.7","146.7","30","3","Brown, L.L., McEnroe, S.A.","Prec. Res.","2012","212-213","57-74","http://dx.doi.org/10.1016/j.precamres.2012.04.012"
"100389","m","Adirondack metamorphic anorthosites & other rocks -N","US","","Laurentia-Grenville","44.0","286.0","970","5","27","N","0","102.3","54.8","15.2","26.2","-16.1","162.0","18.1","4","Brown, L.L., McEnroe, S.A.","Prec. Res.","2012","212-213","57-74","http://dx.doi.org/10.1016/j.precamres.2012.04.012"
"100390","m","Adirondack metamorphic anorthosites & other rocks -R","US","","Laurentia-Grenville","44.0","286.0","970","9","41","R","100","278.0","-74.8","7.0","55.6","-34.2","141.0","12.1","4","Brown, L.L., McEnroe, S.A.","Prec. Res.","2012","212-213","57-74","http://dx.doi.org/10.1016/j.precamres.2012.04.012"
"100391","m","Adirondack metamorphic anorthosites & other rocks -C","US","","Laurentia-Grenville","44.0","286.0","970","14","68","C","64","283.9","-67.3","7.7","28.0","-25.1","149.0","11.6","4","Brown, L.L., McEnroe, S.A.","Prec. Res.","2012","212-213","57-74","http://dx.doi.org/10.1016/j.precamres.2012.04.012"
"5868","i","Archean greenstone","CA","","Laurentia-Grenville","46.9","280.4","975","2","8*","R","100","117.0","48.0","11.0","22.0","-5.0","152.0","11.2","2","Hyodo, H., Dunlop, D.J., McWilliams, M.O.","Geol. Assoc. Can. Sp. Paper","1986","31","119-126",""
"1690","i","La Grande Riviere dykes","CA","B","Laurentia-Superior","53.7","287.0","975","5","9","N","0","136.0","41.0","15.0","12.7","-4.0","327.0","14.1","2","Seguin, M.K., Sharma, K.N.M., Woussen, G., Seymour, K.St., Symons, D.T.A.","Can. J. Earth Sci.","1983","20","339-343","http://dx.doi.org/10.1139/e83-031"
"6941","s","Manitou Falls formation","CA","C","Laurentia-Transhudson","57.5","255.5","975","6","31","N","0","18.0","79.0","3.0","95.0","77.0","284.0","5.5","3","Kotzer, T.G., Kyser, T.K., Irving, E.","Can. J. Earth Sci.","1992","29","1474-1491","http://dx.doi.org/10.1139/e92-118"
"1667","i","French River anorthosite","CA","A","Laurentia-Grenville","46.2","279.2","975","6","31","N","0","112.0","71.0","6.0","19.0","-26.0","135.0","9.5","2","Stupavsky, M., Symons, D.T.A.","Can. J. Earth Sci.","1982","19","819-828","http://dx.doi.org/10.1139/e82-068"
"5869","i","Temagami granodiorite","CA","","Laurentia-Grenville","46.9","280.4","975","4","18","R","100","87.0","69.0","8.0","18.0","-37.0","150.0","13","2","Hyodo, H., Dunlop, D.J., McWilliams, M.O.","Geol. Assoc. Can. Sp. Paper","1986","31","119-126",""
"1643","s","Amnicon and Orienta formations","US","K2","Laurentia-Superior","46.9","268.2","975","1","19*","N","0","83.0","46.0","6.0","46.0","-24.0","162.0","6.1","2","Watts, D.R.","Can. J. Earth Sci.","1981","18","829-841","http://dx.doi.org/10.1139/e81-080"
"5870","i","Nipissing diabase","CA","","Laurentia-Superior","46.9","280.4","975","5","28","R","100","108.0","69.0","8.0","12.0","-27.0","141.0","12.4","4","Hyodo, H., Dunlop, D.J., McWilliams, M.O.","Geol. Assoc. Can. Sp. Paper","1986","31","119-126",""
"1003291","m","Mazinaw metamorphics A -R","CA","A","Laurentia-Grenville","45.2","282.1","980","5","56","R","100","288.0","-60.7","22.0","13.1","-18.7","146.5","29.3","2","Brett, J.S., Dunlop, D.J.","Earth Plan. Sci. Lett.","2008","266","125-139","http://dx.doi.org/10.1016/j.epsl.2007.11.005"
"2242","m","Haliburton intrusions","CA","A","Laurentia-Grenville","45.0","281.4","980","15","42","N","0","272.2","-72.5","6.3","37.6","-35.6","142.5","10.5","2","Buchan, K.L., Dunlop, D.J.","J. Geophys. Res.","1976","81","2951-2967","http://dx.doi.org/10.1029/JB081i017p02951"
"100295","m","Sharbot metamorphics A -N","CA","A","Laurentia-Grenville","44.9","283.5","980","6","80","N","0","86.0","57.0","14.0","25.0","-28.0","167.0","17.4","3","Brett, J.S., Dunlop, D.J.","Earth Plan. Sci. Lett.","2008","266","125-139","http://dx.doi.org/10.1016/j.epsl.2007.11.005"
"1002951","m","Sharbot metamorphics A -R","CA","A","Laurentia-Grenville","44.2","283.3","980","3","24","R","100","283.0","-49.0","18.0","46.0","-12.0","163.0","19.3","2","Brett, J.S., Dunlop, D.J.","Earth Plan. Sci. Lett.","2008","266","125-139","http://dx.doi.org/10.1016/j.epsl.2007.11.005"
"1003292","m","Mazinaw metamorphics A -C","CA","A","Laurentia-Grenville","44.7","282.6","980","9","97","C","58","270.5","-57.4","14.5","13.6","-25.3","161.3","18.1","3","Brett, J.S., Dunlop, D.J.","Earth Plan. Sci. Lett.","2008","266","125-139","http://dx.doi.org/10.1016/j.epsl.2007.11.005"
